superid,initial_coop,initial_local_gini,initial_local_avg_wealth,initial_degree,initial_score
2800,D,0.407142857142857,437.5,4,200
2802,D,0,200,2,200
2803,D,0,200,2,200
2804,C,0.408602150537634,516.666666666667,7,200
2805,D,0.408602150537634,516.666666666667,5,200
2806,D,0.408602150537634,516.666666666667,5,200
2807,D,0.407142857142857,437.5,4,1150
2808,C,0.408602150537634,516.666666666667,7,200
2809,C,0.346504559270517,335.714285714286,5,1150
2811,C,0,200,2,200
2812,C,0,200,4,200
2813,C,0.38974358974359,390,6,1150
2814,C,0.407142857142857,437.5,2,200
2815,C,0.408602150537634,516.666666666667,7,200
2816,D,0,200,4,200
2901,D,0.408602150537634,516.666666666667,4,200
2902,D,0.408602150537634,516.666666666667,5,200
2903,C,0.351851851851852,675,2,200
2904,D,0.253333333333333,833.333333333333,3,1150
2905,C,0.38974358974359,390,6,1150
2907,D,0.351851851851852,675,6,200
2908,D,0.408602150537634,516.666666666667,5,1150
2910,D,0.296103896103896,770,4,200
2911,D,0.383193277310924,607.142857142857,7,1150
2912,C,0.351851851851852,675,4,200
2913,C,0.253333333333333,833.333333333333,2,200
3000,D,0.408602150537634,516.666666666667,6,1150
3001,C,0.408602150537634,516.666666666667,4,200
3002,D,0.351851851851852,675,5,200
3004,D,0.408602150537634,516.666666666667,4,1150
3005,D,0.408602150537634,516.666666666667,5,200
3006,D,0.407142857142857,437.5,3,200
3007,C,0.351851851851852,675,4,1150
3008,D,0.393103448275862,580,5,200
3009,C,0.351851851851852,675,4,200
3010,D,0.253333333333333,833.333333333333,2,1150
3011,C,0.393103448275862,580,5,200
3012,C,0.253333333333333,833.333333333333,3,1150
3013,D,0.408602150537634,516.666666666667,2,1150
3014,D,0.407142857142857,437.5,6,200
3100,D,0.407142857142857,437.5,3,200
3101,D,0.408602150537634,516.666666666667,3,1150
3102,D,0,200,4,200
3103,C,0.408602150537634,516.666666666667,3,200
3104,C,0.368217054263566,358.333333333333,8,200
3105,D,0,200,5,200
3106,D,0.408602150537634,516.666666666667,3,200
3107,D,0.408602150537634,516.666666666667,5,200
3108,C,0.407142857142857,437.5,6,200
3109,D,0.346504559270517,335.714285714286,6,1150
3110,C,0.38974358974359,390,6,200
3111,,0,200,3,200
3112,C,0,200,3,200
3200,C,0,200,2,200
3201,C,0.408602150537634,516.666666666667,3,1150
3203,D,0.408602150537634,516.666666666667,2,200
3205,P,0.407142857142857,437.5,3,1150
3206,D,0,200,1,200
3207,C,0,200,1,200
3208,C,0.408602150537634,516.666666666667,5,200
3210,,0,200,1,200
3211,D,0.407142857142857,437.5,3,200
3213,D,0.253333333333333,833.333333333333,3,200
3301,NA,NA,NA,NA,200
3303,D,0.400280898876405,556.25,5,1150
3304,NA,NA,NA,NA,200
3305,C,0.253333333333333,833.333333333333,2,1150
3306,D,0.195205479452055,912.5,4,1150
3307,C,0.351851851851852,675,4,200
3309,C,0.351851851851852,675,5,200
3310,,0,200,1,200
3311,D,0.351851851851852,675,3,200
3312,C,0.393103448275862,580,4,1150
3313,C,0.407142857142857,437.5,2,200
3401,C,0.376984126984127,622.222222222222,7,200
3402,C,0.408602150537634,516.666666666667,3,1150
3403,C,0.296103896103896,770,4,200
3405,C,0.351851851851852,675,5,200
3406,D,0.368217054263566,358.333333333333,5,200
3407,D,0.411255411255411,471.428571428571,6,200
3408,D,0.408602150537634,516.666666666667,1,1150
3409,P,0.408602150537634,516.666666666667,2,200
3410,C,0.407142857142857,437.5,4,1150
3411,C,0.368217054263566,358.333333333333,5,200
3412,C,0.325980392156863,318.75,5,1150
3413,D,0.368217054263566,358.333333333333,5,200
3500,C,0.383193277310924,607.142857142857,5,200
3501,C,0.393103448275862,580,6,200
3502,C,0.253333333333333,833.333333333333,6,1150
3503,C,0.393103448275862,580,4,200
3504,C,0.253333333333333,833.333333333333,2,1150
3505,C,0.158333333333333,960,5,1150
3507,C,0,1150,4,1150
3508,C,0.383193277310924,607.142857142857,6,1150
3510,C,0.253333333333333,833.333333333333,4,200
3511,D,0.195205479452055,912.5,4,1150
3512,D,0.351851851851852,675,4,200
3513,D,0.253333333333333,833.333333333333,4,1150
3514,D,0.195205479452055,912.5,4,1150
3515,D,0.383193277310924,607.142857142857,5,1150
3518,NA,NA,NA,NA,200
3519,C,0.351851851851852,675,5,200
3600,C,0.407142857142857,437.5,6,200
3602,D,0.407142857142857,437.5,2,200
3603,C,0.368217054263566,358.333333333333,7,200
3604,C,0.351851851851852,675,5,200
3605,C,0,200,3,200
3606,C,0.407142857142857,437.5,9,1150
3607,C,0,200,7,200
3608,D,0.368217054263566,358.333333333333,5,200
3609,C,0.411255411255411,471.428571428571,6,1150
3610,C,0.400280898876405,556.25,10,1150
3611,D,0.411255411255411,471.428571428571,9,200
3612,C,0.399399399399399,411.111111111111,10,200
3613,C,0.407142857142857,437.5,8,200
3614,D,0.393103448275862,580,2,200
3615,C,0.407142857142857,437.5,7,1150
3616,P,0.408602150537634,516.666666666667,3,200
3617,C,0.346504559270517,335.714285714286,9,200
3618,D,0.399399399399399,411.111111111111,8,200
3700,D,0,200,3,200
3701,C,0.307070707070707,305.555555555556,8,200
3703,D,0,200,6,200
3704,D,0,200,5,200
3705,C,0,200,6,200
3706,D,0.368217054263566,358.333333333333,5,200
3707,C,0,200,6,200
3709,D,0,200,4,200
3711,C,0.346504559270517,335.714285714286,7,200
3712,C,0.368217054263566,358.333333333333,8,200
3713,C,0,200,6,200
3715,C,0,200,9,200
3716,D,0,200,4,200
3717,D,0.368217054263566,358.333333333333,5,1150
3719,D,0,200,4,200
3720,C,0.408602150537634,516.666666666667,4,200
3800,P,0.313186813186813,742.857142857143,6,200
3801,C,0.351851851851852,675,5,200
3802,C,0.133053221288515,991.666666666667,8,1150
3804,C,0.351851851851852,675,5,1150
3805,C,0.372792674950948,631.818181818182,9,1150
3806,D,0.400280898876405,556.25,8,1150
3807,D,0.38974358974359,390,6,200
3812,NA,NA,NA,NA,200
3813,P,0.383193277310924,607.142857142857,7,200
3814,D,0.158333333333333,960,2,1150
3816,C,0.253333333333333,833.333333333333,11,1150
3818,D,0.158333333333333,960,4,1150
3820,D,0.158333333333333,960,5,200
3821,C,0.38974358974359,390,7,200
3822,C,0.408602150537634,516.666666666667,9,200
3823,C,0.408602150537634,516.666666666667,7,1150
3824,C,0.408602150537634,516.666666666667,7,200
3825,C,0.393103448275862,580,10,200
3901,D,-8.88178419700125e-16,200,6,200
3903,C,0.383193277310924,607.142857142857,6,1150
3904,C,0.351851851851852,675,6,1150
3905,C,0.346504559270517,335.714285714286,6,200
3906,D,0,200,5,200
3907,NA,NA,NA,NA,1150
3908,NA,NA,NA,NA,200
3910,C,0.289830508474576,295,8,200
3911,C,0.407142857142857,437.5,4,200
3912,D,0.376984126984127,622.222222222222,7,1150
3913,C,0.346504559270517,335.714285714286,8,200
3914,D,0.346504559270517,335.714285714286,7,200
3915,P,0,200,6,200
3918,D,0.346504559270517,335.714285714286,9,200
3919,D,-8.88178419700125e-16,200,9,200
3920,D,0.393103448275862,580,7,200
3921,D,0.368217054263566,358.333333333333,4,200
3922,C,0,200,5,200
3924,D,0.408602150537634,516.666666666667,5,200
4000,D,0.368217054263566,358.333333333333,7,200
4001,C,0.41044104410441,459.090909090909,9,200
4002,C,0.399399399399399,411.111111111111,7,200
4003,C,0.407142857142857,437.5,5,200
4004,D,0.402258292166549,419.230769230769,9,1150
4005,C,0.38974358974359,390,9,200
4006,C,0.408602150537634,516.666666666667,3,1150
4007,C,0.351851851851852,675,7,200
4008,C,0.357264957264958,346.153846153846,13,1150
4010,D,0.368217054263566,358.333333333333,9,200
4011,C,0.399399399399399,411.111111111111,6,200
4013,C,0.411340206185567,485,11,200
4014,D,0.400280898876405,556.25,6,200
4015,C,0.408602150537634,516.666666666667,6,200
4016,D,0.325980392156863,318.75,7,200
4017,D,0.408602150537634,516.666666666667,7,200
4018,D,0.408602150537634,516.666666666667,5,200
4019,C,0.408602150537635,516.666666666667,10,200
4020,C,0.346504559270517,335.714285714286,3,200
4021,NA,NA,NA,NA,200
4022,D,0.383193277310924,607.142857142857,6,1150
4024,D,0.400280898876405,556.25,7,1150
4026,NA,NA,NA,NA,1150
4028,NA,NA,NA,NA,200
4100,D,0.327963176064442,718.181818181818,13,1150
4101,D,0.327963176064442,718.181818181818,11,1150
4102,D,0.408602150537634,516.666666666667,10,200
4103,D,0.407142857142857,437.5,8,200
4104,D,0.322307039864292,727.777777777778,11,200
4105,C,0.306169429097606,754.166666666667,12,1150
4106,D,0.220673635307781,878.571428571429,9,1150
4107,D,0.280511811023622,793.75,10,1150
4108,D,0.393103448275862,580,5,200
4109,C,0.351851851851852,675,10,1150
4110,C,0.351851851851852,675,12,200
4111,C,0.253333333333333,833.333333333333,8,200
4114,D,0.393103448275862,580,12,200
4115,D,0.376984126984127,622.222222222222,8,200
4116,D,0.253333333333333,833.333333333333,8,1150
4117,D,0.351851851851852,675,9,1150
4118,D,0.195205479452055,912.5,5,1150
4119,C,0.296103896103896,770,8,200
4120,C,0.383193277310924,607.142857142857,12,200
4122,D,0.280511811023622,793.75,6,1150
4123,D,0.376984126984127,622.222222222222,8,200
4124,C,0.38974358974359,390,5,1150
4125,D,0.351851851851852,675,9,1150
4126,C,0.296103896103896,770,8,1150
4127,D,0.253333333333333,833.333333333333,7,200
4200,C,0.411255411255411,471.428571428571,7,200
4201,D,0,200,4,200
4202,P,0.408602150537634,516.666666666667,7,1150
4203,C,0.411340206185567,485,9,200
4205,D,0.393103448275862,580,5,1150
4206,D,0.313186813186813,742.857142857143,8,200
4207,C,0.38974358974359,390,5,200
4208,D,0.351851851851852,675,5,1150
4209,C,0.351851851851852,675,6,200
4210,C,0.408602150537634,516.666666666667,8,200
4211,C,0.407142857142857,437.5,9,200
4212,C,0.407142857142857,437.5,7,1150
4213,C,0.407142857142857,437.5,10,200
4214,C,0,200,6,200
4215,C,0.393103448275862,580,5,1150
4217,C,0.383193277310924,607.142857142857,9,1150
4301,D,0.407142857142857,437.5,4,1150
4302,C,0.38974358974359,390,6,1150
4303,D,0.351851851851852,675,3,1150
4304,C,0.296103896103896,770,3,200
4305,D,0.408602150537634,516.666666666667,2,200
4306,,0,200,1,200
4309,D,0,200,5,200
4310,C,0.408602150537634,516.666666666667,5,1150
4311,D,0.407142857142857,437.5,2,1150
4313,D,0.383193277310924,607.142857142857,7,200
4314,C,0.393103448275862,580,4,200
4317,D,0.408602150537634,516.666666666667,4,200
4318,D,0.313186813186813,742.857142857143,6,200
4319,D,0.407142857142857,437.5,4,200
4400,D,0.411255411255411,471.428571428571,4,200
4401,C,0.253333333333333,833.333333333333,1,1150
4402,C,0.38974358974359,390,2,200
4403,D,0.393103448275862,580,3,200
4406,P,0.407142857142857,437.5,4,1150
4408,D,0.38974358974359,390,5,1150
4409,P,0.408602150537634,516.666666666667,5,200
4411,P,0.393103448275862,580,4,200
4412,D,0.38974358974359,390,4,200
4413,NA,NA,NA,NA,200
4414,D,0.408602150537634,516.666666666667,4,200
4415,NA,NA,NA,NA,200
4416,D,0,200,2,200
4418,D,0,200,2,200
4419,NA,NA,NA,NA,1150
4500,C,0.351851851851852,675,5,1150
4501,D,0.325980392156863,318.75,8,200
4502,D,0.408602150537634,516.666666666667,7,200
4503,D,0.399399399399399,411.111111111111,8,200
4504,C,0.313186813186813,742.857142857143,7,1150
4505,C,0.393103448275862,580,7,1150
4506,D,0.351851851851852,675,11,200
4507,C,0.41044104410441,459.090909090909,10,200
4508,C,0.376984126984127,622.222222222222,8,200
4509,D,0.376984126984127,622.222222222222,8,1150
4510,C,0.351851851851852,675,5,200
4511,D,0.313186813186813,742.857142857143,7,1150
4512,C,0.351851851851852,675,2,1150
4513,D,0.38974358974359,390,9,200
4514,C,0,200,11,200
4515,D,0.351851851851852,675,11,1150
4516,D,0.407142857142857,437.5,10,200
4517,D,0.313186813186813,742.857142857143,8,1150
4518,D,0,200,6,200
4519,D,0.399399399399399,411.111111111111,9,200
4520,D,0.408602150537634,516.666666666667,12,1150
4522,C,0.407142857142857,437.5,9,200
4600,C,0.351851851851852,675,7,1150
4601,C,0.407142857142857,437.5,5,1150
4602,P,0.411255411255411,471.428571428571,7,200
4603,P,0,200,6,200
4604,C,0.400280898876405,556.25,5,200
4605,P,0.368217054263566,358.333333333333,4,200
4606,P,0.408602150537634,516.666666666667,4,1150
4609,C,0,200,4,200
4610,C,0.376984126984127,622.222222222222,12,200
4611,D,0.351851851851852,675,1,200
4612,D,0.368217054263566,358.333333333333,4,200
4613,P,0.407142857142857,437.5,7,200
4614,C,0.368217054263566,358.333333333333,7,200
4615,D,0.411255411255411,471.428571428571,7,1150
4616,C,0.393103448275862,580,5,200
4617,P,0.407142857142857,437.5,6,1150
4618,C,0.351851851851852,675,9,200
4619,D,0.351851851851852,675,7,1150
4620,D,0.399399399399399,411.111111111111,11,200
4621,D,0.393103448275862,580,6,200
4700,C,0.351851851851852,675,6,1150
4701,C,0,200,3,200
4705,D,0.351851851851852,675,1,200
4706,P,0.408602150537634,516.666666666667,2,1150
4707,C,0.408602150537634,516.666666666667,8,1150
4708,C,0.408602150537634,516.666666666667,6,200
4709,C,0.407142857142857,437.5,5,200
4710,C,0.407142857142857,437.5,5,200
4712,C,0.368217054263566,358.333333333333,7,200
4713,D,0.253333333333333,833.333333333333,2,200
4714,C,0.407142857142857,437.5,5,1150
4715,D,0.408602150537634,516.666666666667,4,200
4801,C,0,200,2,200
4802,C,0.253333333333333,833.333333333333,6,1150
4803,C,0.368217054263566,358.333333333333,6,200
4804,C,0.407142857142857,437.5,7,200
4805,C,0.408602150537634,516.666666666667,3,1150
4806,C,0.351851851851852,675,4,200
4807,C,0.351851851851852,675,6,1150
4808,C,0.368217054263566,358.333333333333,6,200
4809,C,0.408602150537634,516.666666666667,7,200
4810,P,0,200,1,200
4811,C,0.253333333333333,833.333333333333,4,1150
4812,NA,NA,NA,NA,200
4901,C,0,200,2,200
4902,,0,200,2,200
4903,D,0.38974358974359,390,3,1150
4904,D,0.407142857142857,437.5,2,200
4905,C,0,200,4,200
4906,C,0,200,4,200
4907,NA,NA,NA,NA,200
4909,NA,NA,NA,NA,200
4911,C,0.407142857142857,437.5,3,200
4912,C,0,200,2,200
5000,C,0.408602150537634,516.666666666667,2,1150
5001,C,0.351851851851852,675,7,1150
5003,,0,200,1,200
5004,D,0.408602150537634,516.666666666667,2,200
5005,,0,1150,4,1150
5006,C,0.393103448275862,580,7,1150
5007,C,0.393103448275862,580,5,200
5008,C,0.195205479452055,912.5,5,1150
5009,D,0.393103448275862,580,5,200
5010,C,0.220673635307781,878.571428571429,7,200
5011,C,0.253333333333333,833.333333333333,3,1150
5012,D,0.253333333333333,833.333333333333,4,1150
5013,C,0.393103448275862,580,6,200
