superid,initial_coop,inital_defect,initial_punish,initial_local_gini,initial_local_avg_wealth,initial_degree,initial_score
2715,1,0,0,0.408602150537634,516.666666666667,3,1150
2800,0,1,0,0.407142857142857,437.5,4,200
2802,0,1,0,0,200,2,200
2803,0,1,0,0,200,2,200
2804,1,0,0,0.408602150537634,516.666666666667,7,200
2805,0,1,0,0.408602150537634,516.666666666667,5,200
2806,0,1,0,0.408602150537634,516.666666666667,5,200
2807,0,1,0,0.407142857142857,437.5,4,1150
2808,1,0,0,0.408602150537634,516.666666666667,7,200
2809,1,0,0,0.346504559270517,335.714285714286,5,1150
2811,1,0,0,0,200,2,200
2812,1,0,0,0,200,4,200
2813,1,0,0,0.38974358974359,390,6,1150
2814,1,0,0,0.407142857142857,437.5,2,200
2815,1,0,0,0.408602150537634,516.666666666667,7,200
2816,0,1,0,0,200,4,200
2901,0,1,0,0.408602150537634,516.666666666667,4,200
2902,0,1,0,0.408602150537634,516.666666666667,5,200
2903,1,0,0,0.351851851851852,675,2,200
2904,0,1,0,0.253333333333333,833.333333333333,3,1150
2905,1,0,0,0.38974358974359,390,6,1150
2907,0,1,0,0.351851851851852,675,6,200
2908,0,1,0,0.408602150537634,516.666666666667,5,1150
2910,0,1,0,0.296103896103896,770,4,200
2911,0,1,0,0.383193277310924,607.142857142857,7,1150
2912,1,0,0,0.351851851851852,675,4,200
2913,1,0,0,0.253333333333333,833.333333333333,2,200
3000,0,1,0,0.408602150537634,516.666666666667,6,1150
3001,1,0,0,0.408602150537634,516.666666666667,4,200
3002,0,1,0,0.351851851851852,675,5,200
3004,0,1,0,0.408602150537634,516.666666666667,4,1150
3005,0,1,0,0.408602150537634,516.666666666667,5,200
3006,0,1,0,0.407142857142857,437.5,3,200
3007,1,0,0,0.351851851851852,675,4,1150
3008,0,1,0,0.393103448275862,580,5,200
3009,1,0,0,0.351851851851852,675,4,200
3010,0,1,0,0.253333333333333,833.333333333333,2,1150
3011,1,0,0,0.393103448275862,580,5,200
3012,1,0,0,0.253333333333333,833.333333333333,3,1150
3013,0,1,0,0.408602150537634,516.666666666667,2,1150
3014,0,1,0,0.407142857142857,437.5,6,200
3100,0,1,0,0.407142857142857,437.5,3,200
3101,0,1,0,0.408602150537634,516.666666666667,3,1150
3102,0,1,0,0,200,4,200
3103,1,0,0,0.408602150537634,516.666666666667,3,200
3104,1,0,0,0.368217054263566,358.333333333333,8,200
3105,0,1,0,0,200,5,200
3106,0,1,0,0.408602150537634,516.666666666667,3,200
3107,0,1,0,0.408602150537634,516.666666666667,5,200
3108,1,0,0,0.407142857142857,437.5,6,200
3109,0,1,0,0.346504559270517,335.714285714286,6,1150
3110,1,0,0,0.38974358974359,390,6,200
3111,0,0,0,0,200,3,200
3112,1,0,0,0,200,3,200
3200,1,0,0,0,200,2,200
3201,1,0,0,0.408602150537634,516.666666666667,3,1150
3203,0,1,0,0.408602150537634,516.666666666667,2,200
3205,0,0,1,0.407142857142857,437.5,3,1150
3206,0,1,0,0,200,1,200
3207,1,0,0,0,200,1,200
3208,1,0,0,0.408602150537634,516.666666666667,5,200
3210,0,0,0,0,200,1,200
3211,0,1,0,0.407142857142857,437.5,3,200
3213,0,1,0,0.253333333333333,833.333333333333,3,200
3301,NA,NA,NA,NA,NA,NA,200
3303,0,1,0,0.400280898876405,556.25,5,1150
3304,NA,NA,NA,NA,NA,NA,200
3305,1,0,0,0.253333333333333,833.333333333333,2,1150
3306,0,1,0,0.195205479452055,912.5,4,1150
3307,1,0,0,0.351851851851852,675,4,200
3309,1,0,0,0.351851851851852,675,5,200
3310,0,0,0,0,200,1,200
3311,0,1,0,0.351851851851852,675,3,200
3312,1,0,0,0.393103448275862,580,4,1150
3313,1,0,0,0.407142857142857,437.5,2,200
3401,1,0,0,0.376984126984127,622.222222222222,7,200
3402,1,0,0,0.408602150537634,516.666666666667,3,1150
3403,1,0,0,0.296103896103896,770,4,200
3405,1,0,0,0.351851851851852,675,5,200
3406,0,1,0,0.368217054263566,358.333333333333,5,200
3407,0,1,0,0.411255411255411,471.428571428571,6,200
3408,0,1,0,0.408602150537634,516.666666666667,1,1150
3409,0,0,1,0.408602150537634,516.666666666667,2,200
3410,1,0,0,0.407142857142857,437.5,4,1150
3411,1,0,0,0.368217054263566,358.333333333333,5,200
3412,1,0,0,0.325980392156863,318.75,5,1150
3413,0,1,0,0.368217054263566,358.333333333333,5,200
3500,1,0,0,0.383193277310924,607.142857142857,5,200
3501,1,0,0,0.393103448275862,580,6,200
3502,1,0,0,0.253333333333333,833.333333333333,6,1150
3503,1,0,0,0.393103448275862,580,4,200
3504,1,0,0,0.253333333333333,833.333333333333,2,1150
3505,1,0,0,0.158333333333333,960,5,1150
3507,1,0,0,0,1150,4,1150
3508,1,0,0,0.383193277310924,607.142857142857,6,1150
3510,1,0,0,0.253333333333333,833.333333333333,4,200
3511,0,1,0,0.195205479452055,912.5,4,1150
3512,0,1,0,0.351851851851852,675,4,200
3513,0,1,0,0.253333333333333,833.333333333333,4,1150
3514,0,1,0,0.195205479452055,912.5,4,1150
3515,0,1,0,0.383193277310924,607.142857142857,5,1150
3518,NA,NA,NA,NA,NA,NA,200
3519,1,0,0,0.351851851851852,675,5,200
3600,1,0,0,0.407142857142857,437.5,6,200
3602,0,1,0,0.407142857142857,437.5,2,200
3603,1,0,0,0.368217054263566,358.333333333333,7,200
3604,1,0,0,0.351851851851852,675,5,200
3605,1,0,0,0,200,3,200
3606,1,0,0,0.407142857142857,437.5,9,1150
3607,1,0,0,0,200,7,200
3608,0,1,0,0.368217054263566,358.333333333333,5,200
3609,1,0,0,0.411255411255411,471.428571428571,6,1150
3610,1,0,0,0.400280898876405,556.25,10,1150
3611,0,1,0,0.411255411255411,471.428571428571,9,200
3612,1,0,0,0.399399399399399,411.111111111111,10,200
3613,1,0,0,0.407142857142857,437.5,8,200
3614,0,1,0,0.393103448275862,580,2,200
3615,1,0,0,0.407142857142857,437.5,7,1150
3616,0,0,1,0.408602150537634,516.666666666667,3,200
3617,1,0,0,0.346504559270517,335.714285714286,9,200
3618,0,1,0,0.399399399399399,411.111111111111,8,200
3700,0,1,0,0,200,3,200
3701,1,0,0,0.307070707070707,305.555555555556,8,200
3703,0,1,0,0,200,6,200
3704,0,1,0,0,200,5,200
3705,1,0,0,0,200,6,200
3706,0,1,0,0.368217054263566,358.333333333333,5,200
3707,1,0,0,0,200,6,200
3709,0,1,0,0,200,4,200
3711,1,0,0,0.346504559270517,335.714285714286,7,200
3712,1,0,0,0.368217054263566,358.333333333333,8,200
3713,1,0,0,0,200,6,200
3715,1,0,0,0,200,9,200
3716,0,1,0,0,200,4,200
3717,0,1,0,0.368217054263566,358.333333333333,5,1150
3719,0,1,0,0,200,4,200
3720,1,0,0,0.408602150537634,516.666666666667,4,200
3800,0,0,1,0.313186813186813,742.857142857143,6,200
3801,1,0,0,0.351851851851852,675,5,200
3802,1,0,0,0.133053221288515,991.666666666667,8,1150
3804,1,0,0,0.351851851851852,675,5,1150
3805,1,0,0,0.372792674950948,631.818181818182,9,1150
3806,0,1,0,0.400280898876405,556.25,8,1150
3807,0,1,0,0.38974358974359,390,6,200
3812,NA,NA,NA,NA,NA,NA,200
3813,0,0,1,0.383193277310924,607.142857142857,7,200
3814,0,1,0,0.158333333333333,960,2,1150
3816,1,0,0,0.253333333333333,833.333333333333,11,1150
3818,0,1,0,0.158333333333333,960,4,1150
3820,0,1,0,0.158333333333333,960,5,200
3821,1,0,0,0.38974358974359,390,7,200
3822,1,0,0,0.408602150537634,516.666666666667,9,200
3823,1,0,0,0.408602150537634,516.666666666667,7,1150
3824,1,0,0,0.408602150537634,516.666666666667,7,200
3825,1,0,0,0.393103448275862,580,10,200
3901,0,1,0,-8.88178419700125e-16,200,6,200
3903,1,0,0,0.383193277310924,607.142857142857,6,1150
3904,1,0,0,0.351851851851852,675,6,1150
3905,1,0,0,0.346504559270517,335.714285714286,6,200
3906,0,1,0,0,200,5,200
3907,NA,NA,NA,NA,NA,NA,1150
3908,NA,NA,NA,NA,NA,NA,200
3910,1,0,0,0.289830508474576,295,8,200
3911,1,0,0,0.407142857142857,437.5,4,200
3912,0,1,0,0.376984126984127,622.222222222222,7,1150
3913,1,0,0,0.346504559270517,335.714285714286,8,200
3914,0,1,0,0.346504559270517,335.714285714286,7,200
3915,0,0,1,0,200,6,200
3918,0,1,0,0.346504559270517,335.714285714286,9,200
3919,0,1,0,-8.88178419700125e-16,200,9,200
3920,0,1,0,0.393103448275862,580,7,200
3921,0,1,0,0.368217054263566,358.333333333333,4,200
3922,1,0,0,0,200,5,200
3924,0,1,0,0.408602150537634,516.666666666667,5,200
4000,0,1,0,0.368217054263566,358.333333333333,7,200
4001,1,0,0,0.41044104410441,459.090909090909,9,200
4002,1,0,0,0.399399399399399,411.111111111111,7,200
4003,1,0,0,0.407142857142857,437.5,5,200
4004,0,1,0,0.402258292166549,419.230769230769,9,1150
4005,1,0,0,0.38974358974359,390,9,200
4006,1,0,0,0.408602150537634,516.666666666667,3,1150
4007,1,0,0,0.351851851851852,675,7,200
4008,1,0,0,0.357264957264958,346.153846153846,13,1150
4010,0,1,0,0.368217054263566,358.333333333333,9,200
4011,1,0,0,0.399399399399399,411.111111111111,6,200
4013,1,0,0,0.411340206185567,485,11,200
4014,0,1,0,0.400280898876405,556.25,6,200
4015,1,0,0,0.408602150537634,516.666666666667,6,200
4016,0,1,0,0.325980392156863,318.75,7,200
4017,0,1,0,0.408602150537634,516.666666666667,7,200
4018,0,1,0,0.408602150537634,516.666666666667,5,200
4019,1,0,0,0.408602150537635,516.666666666667,10,200
4020,1,0,0,0.346504559270517,335.714285714286,3,200
4021,NA,NA,NA,NA,NA,NA,200
4022,0,1,0,0.383193277310924,607.142857142857,6,1150
4024,0,1,0,0.400280898876405,556.25,7,1150
4026,NA,NA,NA,NA,NA,NA,1150
4028,NA,NA,NA,NA,NA,NA,200
4100,0,1,0,0.327963176064442,718.181818181818,13,1150
4101,0,1,0,0.327963176064442,718.181818181818,11,1150
4102,0,1,0,0.408602150537634,516.666666666667,10,200
4103,0,1,0,0.407142857142857,437.5,8,200
4104,0,1,0,0.322307039864292,727.777777777778,11,200
4105,1,0,0,0.306169429097606,754.166666666667,12,1150
4106,0,1,0,0.220673635307781,878.571428571429,9,1150
4107,0,1,0,0.280511811023622,793.75,10,1150
4108,0,1,0,0.393103448275862,580,5,200
4109,1,0,0,0.351851851851852,675,10,1150
4110,1,0,0,0.351851851851852,675,12,200
4111,1,0,0,0.253333333333333,833.333333333333,8,200
4114,0,1,0,0.393103448275862,580,12,200
4115,0,1,0,0.376984126984127,622.222222222222,8,200
4116,0,1,0,0.253333333333333,833.333333333333,8,1150
4117,0,1,0,0.351851851851852,675,9,1150
4118,0,1,0,0.195205479452055,912.5,5,1150
4119,1,0,0,0.296103896103896,770,8,200
4120,1,0,0,0.383193277310924,607.142857142857,12,200
4122,0,1,0,0.280511811023622,793.75,6,1150
4123,0,1,0,0.376984126984127,622.222222222222,8,200
4124,1,0,0,0.38974358974359,390,5,1150
4125,0,1,0,0.351851851851852,675,9,1150
4126,1,0,0,0.296103896103896,770,8,1150
4127,0,1,0,0.253333333333333,833.333333333333,7,200
4200,1,0,0,0.411255411255411,471.428571428571,7,200
4201,0,1,0,0,200,4,200
4202,0,0,1,0.408602150537634,516.666666666667,7,1150
4203,1,0,0,0.411340206185567,485,9,200
4205,0,1,0,0.393103448275862,580,5,1150
4206,0,1,0,0.313186813186813,742.857142857143,8,200
4207,1,0,0,0.38974358974359,390,5,200
4208,0,1,0,0.351851851851852,675,5,1150
4209,1,0,0,0.351851851851852,675,6,200
4210,1,0,0,0.408602150537634,516.666666666667,8,200
4211,1,0,0,0.407142857142857,437.5,9,200
4212,1,0,0,0.407142857142857,437.5,7,1150
4213,1,0,0,0.407142857142857,437.5,10,200
4214,1,0,0,0,200,6,200
4215,1,0,0,0.393103448275862,580,5,1150
4217,1,0,0,0.383193277310924,607.142857142857,9,1150
4301,0,1,0,0.407142857142857,437.5,4,1150
4302,1,0,0,0.38974358974359,390,6,1150
4303,0,1,0,0.351851851851852,675,3,1150
4304,1,0,0,0.296103896103896,770,3,200
4305,0,1,0,0.408602150537634,516.666666666667,2,200
4306,0,0,0,0,200,1,200
4309,0,1,0,0,200,5,200
4310,1,0,0,0.408602150537634,516.666666666667,5,1150
4311,0,1,0,0.407142857142857,437.5,2,1150
4313,0,1,0,0.383193277310924,607.142857142857,7,200
4314,1,0,0,0.393103448275862,580,4,200
4317,0,1,0,0.408602150537634,516.666666666667,4,200
4318,0,1,0,0.313186813186813,742.857142857143,6,200
4319,0,1,0,0.407142857142857,437.5,4,200
4400,0,1,0,0.411255411255411,471.428571428571,4,200
4401,1,0,0,0.253333333333333,833.333333333333,1,1150
4402,1,0,0,0.38974358974359,390,2,200
4403,0,1,0,0.393103448275862,580,3,200
4406,0,0,1,0.407142857142857,437.5,4,1150
4408,0,1,0,0.38974358974359,390,5,1150
4409,0,0,1,0.408602150537634,516.666666666667,5,200
4411,0,0,1,0.393103448275862,580,4,200
4412,0,1,0,0.38974358974359,390,4,200
4413,NA,NA,NA,NA,NA,NA,200
4414,0,1,0,0.408602150537634,516.666666666667,4,200
4415,NA,NA,NA,NA,NA,NA,200
4416,0,1,0,0,200,2,200
4418,0,1,0,0,200,2,200
4419,NA,NA,NA,NA,NA,NA,1150
4500,1,0,0,0.351851851851852,675,5,1150
4501,0,1,0,0.325980392156863,318.75,8,200
4502,0,1,0,0.408602150537634,516.666666666667,7,200
4503,0,1,0,0.399399399399399,411.111111111111,8,200
4504,1,0,0,0.313186813186813,742.857142857143,7,1150
4505,1,0,0,0.393103448275862,580,7,1150
4506,0,1,0,0.351851851851852,675,11,200
4507,1,0,0,0.41044104410441,459.090909090909,10,200
4508,1,0,0,0.376984126984127,622.222222222222,8,200
4509,0,1,0,0.376984126984127,622.222222222222,8,1150
4510,1,0,0,0.351851851851852,675,5,200
4511,0,1,0,0.313186813186813,742.857142857143,7,1150
4512,1,0,0,0.351851851851852,675,2,1150
4513,0,1,0,0.38974358974359,390,9,200
4514,1,0,0,0,200,11,200
4515,0,1,0,0.351851851851852,675,11,1150
4516,0,1,0,0.407142857142857,437.5,10,200
4517,0,1,0,0.313186813186813,742.857142857143,8,1150
4518,0,1,0,0,200,6,200
4519,0,1,0,0.399399399399399,411.111111111111,9,200
4520,0,1,0,0.408602150537634,516.666666666667,12,1150
4522,1,0,0,0.407142857142857,437.5,9,200
4600,1,0,0,0.351851851851852,675,7,1150
4601,1,0,0,0.407142857142857,437.5,5,1150
4602,0,0,1,0.411255411255411,471.428571428571,7,200
4603,0,0,1,0,200,6,200
4604,1,0,0,0.400280898876405,556.25,5,200
4605,0,0,1,0.368217054263566,358.333333333333,4,200
4606,0,0,1,0.408602150537634,516.666666666667,4,1150
4609,1,0,0,0,200,4,200
4610,1,0,0,0.376984126984127,622.222222222222,12,200
4611,0,1,0,0.351851851851852,675,1,200
4612,0,1,0,0.368217054263566,358.333333333333,4,200
4613,0,0,1,0.407142857142857,437.5,7,200
4614,1,0,0,0.368217054263566,358.333333333333,7,200
4615,0,1,0,0.411255411255411,471.428571428571,7,1150
4616,1,0,0,0.393103448275862,580,5,200
4617,0,0,1,0.407142857142857,437.5,6,1150
4618,1,0,0,0.351851851851852,675,9,200
4619,0,1,0,0.351851851851852,675,7,1150
4620,0,1,0,0.399399399399399,411.111111111111,11,200
4621,0,1,0,0.393103448275862,580,6,200
4700,1,0,0,0.351851851851852,675,6,1150
4701,1,0,0,0,200,3,200
4705,0,1,0,0.351851851851852,675,1,200
4706,0,0,1,0.408602150537634,516.666666666667,2,1150
4707,1,0,0,0.408602150537634,516.666666666667,8,1150
4708,1,0,0,0.408602150537634,516.666666666667,6,200
4709,1,0,0,0.407142857142857,437.5,5,200
4710,1,0,0,0.407142857142857,437.5,5,200
4712,1,0,0,0.368217054263566,358.333333333333,7,200
4713,0,1,0,0.253333333333333,833.333333333333,2,200
4714,1,0,0,0.407142857142857,437.5,5,1150
4715,0,1,0,0.408602150537634,516.666666666667,4,200
4801,1,0,0,0,200,2,200
4802,1,0,0,0.253333333333333,833.333333333333,6,1150
4803,1,0,0,0.368217054263566,358.333333333333,6,200
4804,1,0,0,0.407142857142857,437.5,7,200
4805,1,0,0,0.408602150537634,516.666666666667,3,1150
4806,1,0,0,0.351851851851852,675,4,200
4807,1,0,0,0.351851851851852,675,6,1150
4808,1,0,0,0.368217054263566,358.333333333333,6,200
4809,1,0,0,0.408602150537634,516.666666666667,7,200
4810,0,0,1,0,200,1,200
4811,1,0,0,0.253333333333333,833.333333333333,4,1150
4812,NA,NA,NA,NA,NA,NA,200
4901,1,0,0,0,200,2,200
4902,0,0,0,0,200,2,200
4903,0,1,0,0.38974358974359,390,3,1150
4904,0,1,0,0.407142857142857,437.5,2,200
4905,1,0,0,0,200,4,200
4906,1,0,0,0,200,4,200
4907,NA,NA,NA,NA,NA,NA,200
4909,NA,NA,NA,NA,NA,NA,200
4911,1,0,0,0.407142857142857,437.5,3,200
4912,1,0,0,0,200,2,200
5000,1,0,0,0.408602150537634,516.666666666667,2,1150
5001,1,0,0,0.351851851851852,675,7,1150
5003,0,0,0,0,200,1,200
5004,0,1,0,0.408602150537634,516.666666666667,2,200
5005,0,0,0,0,1150,4,1150
5006,1,0,0,0.393103448275862,580,7,1150
5007,1,0,0,0.393103448275862,580,5,200
5008,1,0,0,0.195205479452055,912.5,5,1150
5009,0,1,0,0.393103448275862,580,5,200
5010,1,0,0,0.220673635307781,878.571428571429,7,200
5011,1,0,0,0.253333333333333,833.333333333333,3,1150
5012,0,1,0,0.253333333333333,833.333333333333,4,1150
5013,1,0,0,0.393103448275862,580,6,200
